Name,Latitude,Longitude,Address,City,Post Code,Phone,Opening Times,,,,,,,,,,,,,,,
@Worle,51.357014,-2.9288128,58 New Bristol Road,Weston-Super-Mare,BS22 6AQ,0193 4529540,"Mon: 09:00 - 17:00, Tue: 09:00 - 17:00, Wed: 09:00 - 17:00, Thu: 09:00 - 17:00, Fri: 09:00 - 17:00, Sat: 09:00 - 17:00, Sun: 10:00 - 16:00",,,,,,,,,,,,,,,
No 1 Staffordshire Place,52.8064374,-2.1259293,No 1 Staffordshire Place,Stafford,ST16 2LP,0300 1118000,"Mon: 08:00 - 18:00, Tue: 08:00 - 18:00, Wed: 08:00 - 18:00, Thu: 08:00 - 18:00, Fri: 08:00 - 18:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
33 Love Street,53.386,-1.468,33 Love Street,Sheffield,S3 8NW,0114 2262920,"Mon: 08:45 - 17:15, Tue: 08:45 - 17:15, Wed: 08:45 - 17:15, Thu: 08:45 - 17:15, Fri: 08:45 - 17:15, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
360 Beach and Watersports,51.6114132,-3.9654,360 Beach and Watersports Centre,Swansea,SA2 0AY,0179 2655844,"Mon: 08:00 - 22:30, Tue: 08:00 - 22:30, Wed: 08:00 - 22:30, Thu: 08:00 - 22:30, Fri: 08:00 - 22:30, Sat: 08:00 - 22:30, Sun: 08:00 - 21:30",,,,,,,,,,,,,,,
Abbey Lane,53.3218789,-1.4727322,Chesterfield Road,Sheffield,S8 0BR,,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Aberdeen Community Health and Care Village,57.1501863,-2.0916757,50 Frederick Street,Aberdeen,AB24 5HY,0122 4655726,"Mon: 08:00 - 18:00, Tue: 08:00 - 18:00, Wed: 08:00 - 18:00, Thu: 08:00 - 18:00, Fri: 08:00 - 18:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Aberdeen Royal Infirmary,57.1547411,-2.1384518,"Ground Floor, Phase 2",Aberdeen,AB25 2ZN,0122 4552245,"Mon: 07:00 - 19:00, Tue: 07:00 - 19:00, Wed: 07:00 - 19:00, Thu: 07:00 - 19:00, Fri: 07:00 - 19:00, Sat: 07:00 - 19:00, Sun: 07:00 - 19:00",,,,,,,,,,,,,,,
Acomb Explore Library,53.9537094,-1.1293038,Front Street,York,YO24 3BZ,0190 4552652,"Mon: 09:00 - 21:30, Tue: 09:00 - 21:30, Wed: Contact for Information, Thu: 09:00 - 21:30, Fri: 09:00 - 17:00, Sat: 09:00 - 14:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Addenbrooke's Hospital,52.1747049,0.1414055,Outpatient Department,Cambridge,CB2 0QQ,0122 3245151,"Mon: 08:00 - 17:00, Tue: 08:00 - 17:00, Wed: 08:00 - 17:00, Thu: 08:00 - 17:00, Fri: 08:00 - 17:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
Adult Community Learning Chelmsford,51.7351675,0.4517395,Beeches Close,Chelmsford,CM1 2SB,0124 5494129,"Mon: Contact for Information, Tue: Contact for Information, Wed: Contact for Information, Thu: Contact for Information, Fri: Contact for Information, Sat: 09:00 - 12:00, Sun: Contact for Information",,,,,,,,,,,,,,,
Airdrie Locality Sports Centre,55.8677307,-3.9757623,92 Hallcraig Street,Airdrie,ML6 6AW,0123 6856000,"Mon: 09:00 - 16:00, Tue: 09:00 - 16:00, Wed: 09:00 - 16:00, Thu: 09:00 - 16:00, Fri: 09:00 - 16:00, Sat: Contact for Information, Sun: Contact for Information",,,,,,,,,,,,,,,
